timestamp,sex,height,weight,wingspan,years_climbing,indoor_outdoor,hardest_boulder_ever,hardest_boulder_recent,hardest_boulder_confident,hardest_route_ever,hardest_route_recent,hardest_route_confident,weekly_count_climbing,weekly_hours_climbing,weekly_hours_training,weekly_count_hangboard,hangboard_grips,hangboard_style,weekly_count_campus,weekly_hours_campus,weekly_count_endurance,endurance_style,weekly_count_strength,session_hours_strength,strength_style,other_activities,pullups_maxcount,pushups_maxcount,cid
29/01/2017 20:12:46,M,173.0,77.0,178.0,4.5 - 5 years,Indoor and outdoor climbing,V8,V8,V6,I don't climb routes,I don't climb routes,I don't climb routes,4,8,6,0,"[""I don't Hangboard""]",,0,0,1,['4x4'],3,4,"['Antagonists', 'Legs', 'Core']",,15.0,40.0,chalk-eating pebble
29/01/2017 20:17:27,M,180.0,81.0,180.0,3 - 3.5 years,Indoor Climbing only,V3,V3,V1,17,I don't climb routes,I don't climb routes,1,3,10,2,"['Open Crimp', 'Front 3', 'Back 3', 'Middle 2', 'Slopers']",['Repeaters'],0,0,1,['Laps of routes'],2,2,"['Antagonists', 'Legs', 'Core', 'Upper body pulling', 'Upper body pushing']","['yoga', 'stretching']",11.0,24.0,crimp-hating couch surfer
29/01/2017 20:28:14,M,178.0,67.0,175.0,.5 - 1 years,Indoor and outdoor climbing,V7,V6,V5,21,21,19,3,4,3,2,['Open Crimp'],['Other protocol'],0,0,2,"['4x4', 'ARC', 'route climbing intervals']",3,2,"['Antagonists', 'Core', 'Upper body pulling', 'Upper body pushing']",['soccer'],17.0,,dynamic slab monarch
29/01/2017 20:51:08,M,173.0,70.0,178.0,9 - 9.5 years,Indoor and outdoor climbing,V5,V4,V3,21,21,18,2,6,1,1,['Half Crimp'],['Max weight'],0,0,1,"['Laps of routes', 'route climbing intervals']",0,0,"['Antagonists', 'Legs', 'Core', 'No other strength training']",,8.0,30.0,chalk-eating couch surfer
29/01/2017 21:03:19,M,184.0,84.0,197.0,6.5 - 7 years,Indoor and outdoor climbing,V10,V10,V7,I don't climb routes,I don't climb routes,I don't climb routes,6,10,2,4,['Open Crimp'],"['Min Edge', 'Other protocol']",0,0,2,"['4x4', 'Max moves', 'threshold intervals']",2,1,"['Core', 'Upper body pushing']",,,,sanded gym bro
29/01/2017 21:03:28,M,176.0,67.0,170.0,5 - 5.5 years,Indoor and outdoor climbing,V7,I don't boulder,V7,22,I don't climb routes,18,0,0,0,0,"[""I don't Hangboard""]",,0,0,0,,4,6,"['Legs', 'Core', 'Upper body pulling', 'Upper body pushing']","['trail running', 'running']",9.0,15.0,old sloper hater
29/01/2017 21:25:54,M,184.0,75.0,181.0,1 - 1.5 years,Indoor Climbing only,V4,V4,V2,I don't climb routes,I don't climb routes,I don't climb routes,2,4,0,0,"[""I don't Hangboard""]",,0,0,0,,2,4,"['Legs', 'Core', 'Upper body pulling', 'Upper body pushing']",,15.0,,kid pinchster
29/01/2017 22:10:27,M,186.0,88.0,192.0,1.5 - 2 years,Indoor and outdoor climbing,V5,V5,V3,23,22,21,3,8,8,1,"['Half Crimp', 'Open Crimp', 'Slopers']",['Repeaters'],0,0,2,"['Laps of routes', 'route climbing intervals', 'threshold intervals']",3,4,"['Antagonists', 'Core', 'Upper body pulling', 'Upper body pushing']",['cardio'],9.0,25.0,sturdy dirtbag
29/01/2017 22:43:43,M,185.0,60.0,180.0,.5 - 1 years,Indoor Climbing only,V2,V2,V1,21,21,18,1,3,1,0,"[""I don't Hangboard""]",,0,0,0,,1,1,['Core'],,,,static ladder admirer
29/01/2017 23:28:42,M,180.0,80.0,,8.5 - 9 years,Indoor and outdoor climbing,V9,V7,V6,I don't climb routes,I don't climb routes,I don't climb routes,4,3,8,2,['Half Crimp'],['Max weight'],1,1,0,,1,2,"['Antagonists', 'Core', 'Upper body pulling', 'Upper body pushing']",,,,sloper-loving amateur
